uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1643563184","30 Jan 2022, 17:19","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Festival Live","","Open","068b9ba5-22b5-4b86-8a5d-638b6f652627"
"1643509401","30 Jan 2022, 02:23","John Mayer","144ef525-85e9-40c3-8335-02c32d0861f3","2019-07-26 CJ Madison Square Garden","","No Such Thing","0726f764-8a47-36e7-bbb7-2ec905852ac9"
"1643508978","30 Jan 2022, 02:16","John Mayer","144ef525-85e9-40c3-8335-02c32d0861f3","2019-07-26 CJ Madison Square Garden","","Waiting on the Day","038ca8c2-b557-4240-81b7-f6ed40b235f3"
"1643508621","30 Jan 2022, 02:10","John Mayer","144ef525-85e9-40c3-8335-02c32d0861f3","2019-07-26 CJ Madison Square Garden","","Moving on and Getting Over","0cefcafa-ad65-4beb-8c2d-dd00b1d9cd19"
"1643508103","30 Jan 2022, 02:01","John Mayer","144ef525-85e9-40c3-8335-02c32d0861f3","2019-07-26 CJ Madison Square Garden","","Changing","3365d3da-0154-4fdd-9c78-60ff69597ffc"
"1643507867","30 Jan 2022, 01:57","John Mayer","144ef525-85e9-40c3-8335-02c32d0861f3","2019-07-26 CJ Madison Square Garden","","Love On The Weekend","0ef85e9f-f678-4f97-ab81-263bd06f0618"
"1643507544","30 Jan 2022, 01:52","John Mayer","144ef525-85e9-40c3-8335-02c32d0861f3","2019-07-26 CJ Madison Square Garden","","Heartbreak Warfare","14c484d1-6a9c-40f3-94c2-cec1d59e8be0"
"1643490174","29 Jan 2022, 21:02","The Soup Dragons","","Hotwired (Deluxe / Remastered)","","Divine Thing - Remastered",""
"1643489942","29 Jan 2022, 20:59","R.E.M.","","And I Feel Fine.....The Best Of The IRS Years 82-87 Collector's Edition","","Finest Worksong - Remastered 2006",""
"1643489715","29 Jan 2022, 20:55","The Smithereens","fae2cd4c-f847-4cb3-b311-60c8906cdb0b","Green Thoughts","71a49471-7851-4d93-8b7b-ddc4ae2404bf","Only A Memory","06419ef0-8580-4275-8e83-177786275494"
"1643489492","29 Jan 2022, 20:51","U2","a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432","Achtung Baby","061b8ef6-f443-390f-8ac6-6dc16709896f","Zoo Station","031d33e3-9b91-33e1-a108-6ba43df0c795"
"1643489177","29 Jan 2022, 20:46","R.E.M.","","Green (Remastered)","","Orange Crush - Remastered",""
"1643488946","29 Jan 2022, 20:42","Oasis","","Definitely Maybe (Deluxe Edition Remastered)","","Supersonic - Remastered",""
"1643488663","29 Jan 2022, 20:37","INXS","481bf5f9-2e7c-4c44-b08a-05b32bc7c00d","Shabooh Shoobah","20617bcd-68e0-45fd-9edf-3558ffea1001","Don't Change","031d83cf-79be-4ec4-a1af-c8323de75d48"
"1643427850","29 Jan 2022, 03:44","Counting Crows","a0327dc2-dc76-44d5-aec6-47cd2dff1469","August and Everything After","0201c645-c8fe-46b0-b785-815a617a1136","Rain King","02fdf07c-ae4d-387a-9260-ca0bdda498c9"
"1643426810","29 Jan 2022, 03:26","Beastie Boys","9beb62b2-88db-4cea-801e-162cd344ee53","Check Your Head (Deluxe Version) [Remastered]","","So What'cha Want (Remastered)",""
"1643424135","29 Jan 2022, 02:42","Counting Crows","a0327dc2-dc76-44d5-aec6-47cd2dff1469","August and Everything After","0201c645-c8fe-46b0-b785-815a617a1136","Time and Time Again","177c79da-e415-3312-8581-676f1a5dc660"
